custmer_name,frequency,monetary,FM_score,frequency_2018,monetary_2018,frequency_2019,monetary_2019,freq_change%,rev_change%,Segment
Acclaimed Stores,1070,16378416.0,24,663,9339052.0,407,7039364.0,-38.612368024132735,-24.624426547790932,Mid Tier - At Risk
All-Out,1105,4474002.0,22,559,2415760.0,546,2058242.0,-2.3255813953488373,-14.799400602708879,Low Value - Churning
Atlas Stores,3240,12767460.0,33,1424,6359495.0,1816,6407965.0,27.52808988764045,0.7621674362508344,Loyal - Stable
Control,1638,25007609.0,34,841,15003105.0,797,10004504.0,-5.231866825208085,-33.31711002489152,Loyal - Deteriorating
Electricalsara Stores,10424,312109581.0,44,5877,173341212.0,4547,138768369.0,-22.63059384039476,-19.944964386195707,High Value - At Risk
Electricalsbea Stores,135,273060.0,11,52,118011.0,83,155049.0,59.61538461538461,31.385209853318756,Low Value - Stable
Electricalslance Stores,2404,1638226.0,31,1282,569105.0,1122,1069121.0,-12.480499219968799,87.86006097293118,Frequent - Low Value
Electricalslytical,3610,37970482.0,44,1971,20825800.0,1639,17144682.0,-16.84424150177575,-17.675757954076193,High Value - At Risk
Electricalsocity,1051,13916494.0,23,598,9299125.0,453,4617369.0,-24.24749163879599,-50.346199239175725,Mid Tier - At Risk
Electricalsopedia Stores,9121,8160994.0,42,4707,4296063.0,4414,3864931.0,-6.224771616741024,-10.035513911225232,Mid Tier - At Risk
Electricalsquipo Stores,303,1074955.0,11,211,719382.0,92,355573.0,-56.39810426540285,-50.57243578516004,Low Value - Churning
Elite,383,2755336.0,11,212,1705324.0,171,1050012.0,-19.339622641509436,-38.42741907109734,Low Value - Churning
Epic Stores,4174,14395245.0,43,2379,7319057.0,1795,7076188.0,-24.54812946616225,-3.3183099953996806,Loyal - Stable
Excel Stores,6838,36646839.0,44,3714,18086985.0,3124,18559854.0,-15.885837372105547,2.6144158354750666,Champion
Expression,180,306607.0,11,97,112513.0,83,194094.0,-14.432989690721648,72.50806573462623,Low Value - Stable
Flawless Stores,1426,7514119.0,22,710,4313557.0,716,3200562.0,0.8450704225352111,-25.802255539917518,Low Value - Churning
Forward Stores,1243,16899389.0,24,630,9617143.0,613,7282246.0,-2.6984126984126986,-24.2784889441698,Mid Tier - At Risk
Info Stores,4430,27830175.0,44,2497,15131806.0,1933,12698369.0,-22.587104525430515,-16.081603213786906,High Value - At Risk
Insight,865,2558736.0,21,309,1466078.0,556,1092658.0,79.93527508090615,-25.470677549216347,Low Value - Churning
Integration Stores,1366,10714587.0,23,719,5887876.0,647,4826711.0,-10.013908205841446,-18.02288295473614,Mid Tier - At Risk
Leader,107,13716773.0,13,49,7353674.0,58,6363099.0,18.367346938775512,-13.4704774783326,Infrequent - Big Ticket
Logic Stores,1977,8865523.0,32,836,3024398.0,1141,5841125.0,36.483253588516746,93.13347648027805,Mid Tier - Growing
Modular,2687,14041033.0,33,1373,6988222.0,1314,7052811.0,-4.297159504734159,0.924255125266484,Loyal - Stable
Nixon,12956,32950043.0,44,6830,21809554.0,6126,11140489.0,-10.307467057101025,-48.91922595024181,High Value - At Risk
Nomad Stores,3394,14144624.0,33,1536,7822478.0,1858,6322146.0,20.963541666666664,-19.179753525673064,Loyal - Deteriorating
Novus,806,1837333.0,11,332,849587.0,474,987746.0,42.77108433734939,16.26190137090139,Low Value - Stable
Path,579,10211898.0,13,285,5221503.0,294,4990395.0,3.1578947368421053,-4.426081915494446,Infrequent - Big Ticket
Power,5230,4057719.0,42,2590,2311255.0,2640,1746464.0,1.9305019305019304,-24.436550705136387,Mid Tier - At Risk
Premium Stores,16113,33772349.0,44,10219,18696274.0,5894,15076075.0,-42.32312359330658,-19.363211086872177,High Value - At Risk
Propel,3234,3262034.0,31,1630,1659717.0,1604,1602317.0,-1.5950920245398774,-3.4584209235670897,Frequent - Low Value
Relief,2040,4136655.0,32,953,1921965.0,1087,2214690.0,14.060860440713535,15.230506278730363,Mid Tier - Growing
Sage,158,1813982.0,11,77,1409859.0,81,404123.0,5.194805194805195,-71.33592791903304,Low Value - Churning
Sound,1610,3642385.0,31,837,1912682.0,773,1729703.0,-7.646356033452808,-9.566619019784783,Frequent - Low Value
Surface Stores,1289,11459003.0,23,702,5996564.0,587,5462439.0,-16.381766381766383,-8.907184180807542,Mid Tier - Stable
Surge Stores,3637,21713099.0,44,2021,12622707.0,1616,9090392.0,-20.03958436417615,-27.983815199069422,High Value - At Risk
Synthetic,309,4017625.0,12,180,1876546.0,129,2141079.0,-28.333333333333332,14.096803382384445,Low Value - Stable
Unity Stores,913,10009291.0,22,447,5109477.0,466,4899814.0,4.250559284116331,-4.103414106766701,Low Value - Stable
Zone,638,3717376.0,12,517,1796032.0,121,1921344.0,-76.59574468085107,6.977158536150803,Low Value - Stable
